姓,名,姓（カタカナ）,名（カタカナ）,性別,電話番号,メールアドレス,郵便番号,住所,,,,,生年月日,血液型,乱数
福沢,雫,フクザワ,シズク,女,0198872715,dpsiqo=omwqpybashizuku60744@afzeomt.zpxto.fc,029-2501,岩手県,気仙郡住田町,上有住,2-17,,1959-11-17,A,9279
藤巻,音羽,フジマキ,オトハ,女,0195475845,otoha_fujimaki@ovhihww.bys,027-0054,岩手県,宮古市,太田,3-17,,1974-05-24,O,3340
垣内,達郎,カキウチ,タツロウ,男,019458611,ukakiuchi@fwkxxbdagy.dzjug.bhs,028-6976,岩手県,二戸市,浄法寺町樋口,4-5-5,,1981-10-05,A,3451
安斎,治彦,アンザイ,ハルヒコ,男,019063675,haruhiko56689@xved.phpjn.bth,023-0887,岩手県,奥州市,水沢区矢中,2-10-18,水沢区矢中ロイヤル302,1980-10-13,AB,6311
森谷,芳人,モリヤ,ヨシヒト,男,0194226799,Yoshihito_Moriya@iqoekyvar.mw,028-4134,岩手県,盛岡市,玉山区下田,4-18-3,,2010-11-03,O,6080
大矢,理絵,オオヤ,リエ,女,0193238606,jjhiykhcqukw=rie042@rheiamcft.nglrv.yar,028-0481,岩手県,遠野市,小友町,2-1,,1998-02-11,A,5398
佐藤,雪絵,サトウ,ユキエ,女,0197059015,yukie192@gnnnghlw.kzq,028-7674,岩手県,八幡平市,家ノ裏,2-7-1,,1969-05-20,A,9334
外山,敬子,ソトヤマ,ケイコ,女,0199136807,keiko825@rhwz.to,028-6924,岩手県,二戸市,浄法寺町家ノ上,3-19-15,,2015-05-12,A,9897
森脇,欽也,モリワキ,キンヤ,男,0197558955,kinya_moriwaki@fvogchj.hm,027-0331,岩手県,宮古市,田老西向山,3-17-7,,1987-05-20,AB,6743
神野,美雨,カミノ,ミウ,女,0199367721,miu005@nzoffooje.ytg,028-0152,岩手県,花巻市,東和町毒沢,2-14-19,東和町毒沢コーポ211,1961-03-31,B,4434
