連番,姓,名,姓（カタカナ）,名（カタカナ）,性別,電話番号,メールアドレス,郵便番号,住所,,,,,生年月日,年齢,血液型,乱数
1,手塚,美里,テヅカ,ミサト,女,0199242830,misato6290@aiohrwh.su,023-0811,岩手県,奥州市,水沢区寺小路,2-20,,1994-08-18,23,O,4759
2,大谷,常吉,オオヤ,ツネキチ,男,0198250642,tsunekichi3566@mijqaslx.ui,023-0065,岩手県,奥州市,水沢区水山,4-16,スイート水沢区水山213,2016-05-30,2,O,6579
3,山脇,瑞稀,ヤマワキ,ミズキ,女,0190493265,mizuki29902@ormrxr.yo,028-2633,岩手県,下閉伊郡川井村,平津戸,2-3,平津戸の杜119,2004-02-22,14,O,1287
4,小椋,隆,オグラ,タカシ,男,0191815301,takashiogura@edrfu.flq,025-0012,岩手県,花巻市,胡四王,3-20-18,胡四王庵119,1999-08-28,18,A,7083
5,吉野,彩加,ヨシノ,アヤカ,女,0191206074,Ayaka_Yoshino@mwdfui.ove,028-8405,岩手県,下閉伊郡田野畑村,浜岩泉,3-4-20,,2001-07-01,16,O,9922
6,本間,真菜,ホンマ,マナ,女,0194929240,mana855@zrwrsrs.gj,028-6941,岩手県,二戸市,浄法寺町御山中前田,1-13,,2007-08-03,10,B,8364
7,川本,宣彦,カワモト,ノブヒコ,男,0195520784,Nobuhiko_Kawamoto@utjvptq.chr.uto,028-7654,岩手県,八幡平市,小峠,1-11,小峠パレス407,2004-09-09,13,B,7988
8,大井,峻輝,オオイ,シュンキ,男,0195828060,Shunki_Ooi@ngkdwhf.sp,024-0004,岩手県,北上市,村崎野,1-4-17,,2017-05-16,1,AB,3079
9,黒岩,絢音,クロイワ,アヤネ,女,0195600144,ayane_kuroiwa@vvsmfel.rg,028-2711,岩手県,盛岡市,玉山区薮川,2-1-10,,1989-08-25,28,AB,5408
10,土井,正春,ドイ,マサハル,男,0191108849,bwdrqbmasaharu38462@gzrdz.lpy,028-4125,岩手県,盛岡市,玉山区好摩,4-6-19,プラチナ玉山区好摩406,1991-06-18,26,A,4016
11,長井,陽一郎,ナガイ,ヨウイチロウ,男,0193107199,unagai@dgrf.frz,023-0886,岩手県,奥州市,水沢区南矢中,2-3-10,,1998-01-29,20,AB,216
12,久米,裕美,クメ,ヒロミ,女,0191564752,hiromi152@ltcc.je.toy,020-0311,岩手県,盛岡市,簗川,4-4-20,,1989-10-30,28,O,3444
13,高村,萌花,タカムラ,モエカ,女,0193723812,moeka_takamura@qqslgq.dma,028-7657,岩手県,八幡平市,栗木田,3-11-18,ドリーム栗木田204,1996-03-18,22,A,859
14,有馬,安子,アリマ,ヤスコ,女,0190377018,yasukoarima@njjqvarou.ib,025-0016,岩手県,花巻市,高木,1-2-9,,2016-05-04,2,A,7102
15,河合,瞳,カワイ,ヒトミ,女,0198238470,Hitomi_Kawai@unhnmwjgr.yh,028-6822,岩手県,二戸市,浄法寺町漆沢舘,3-5-1,,2013-05-17,5,AB,9803
16,松尾,凜,マツオ,リン,女,0198146888,rin78916@xanw.xf,024-0325,岩手県,北上市,和賀町岩沢,1-14-6,,2014-05-04,4,AB,3351
17,久保,真理,クボ,マリ,女,0195526461,mari6579@upjmv.ee,025-0134,岩手県,花巻市,南笹間,4-12,,2000-09-28,17,A,7589
